"snl_id","primary_commodity"
"31975","Iron Ore"
"55541","Copper"
"49709","Coal"
"30520","Gold"
"30705","Gold"
"27058","Copper"
"25602","Gold"
"24548","Gold"
"49930","Phosphate"
"25849","Molybdenum"
"30836","Gold"
"37109","Lanthanides"
"59632","Copper"
"37455","Copper"
"61248","Gold"
"66008","Copper"
"84552","Gold"
"61654","U3O8"
"62316","Gold"
"33069","Copper"
"64397","Gold"
"26483","Copper"
"41738","Lithium"
"37516","Lithium"
"78969","Lithium"
"62106","Iron Ore"
"37587","Gold"
"35450","Copper"
"39060","U3O8"
"37504","Potash"
"27040","Gold"
"33090","Diamonds"
"53593","Gold"
"58250","Nickel"
"67775","Nickel"
"61236","Tin"
"63939","Coal"
"51989","Coal"
"51322","Coal"
"34886","U3O8"
"67330","Copper"
"51324","Coal"
"53026","Gold"
"68423","Coal"
"29733","Gold"
"33474","Diamonds"
"68418","Coal"
"41224","Coal"
"41924","Coal"
"25034","Silver"
"52708","Gold"
"35598","U3O8"
"53712","Gold"
"53660","Copper"
"66172","Copper"
"51301","Diamonds"
"55505","Coal"
"51326","Coal"
"51330","Coal"
"26545","Gold"
"66525","Gold"
"67085","Copper"
"24924","Molybdenum"
"51705","Coal"
"25011","Silver"
"24663","Gold"
"27739","Lead"
"61237","Coal"
"28526","Copper"
"28710","Gold"
"41333","Coal"
"68300","Coal"
"25055","Copper"
"27979","Gold"
"33442","Silver"
"60248","Coal"
"29795","Gold"
"53610","Copper"
"29168","Zinc"
"36877","Zinc"
"62580","Bauxite"
"28119","Nickel"
"39236","Coal"
"66236","Coal"
"41697","Coal"
"26356","Gold"
"52943","Coal"
"61032","Gold"
"34275","Copper"
"79233","Gold"
"84090","Gold"
"57909","Nickel"
"52626","Iron Ore"
"54831","Gold"
"60009","Gold"
"35680","U3O8"
"70607","U3O8"
"84640","Copper"
"70299","Coal"
"30373","Gold"
"38959","Coal"
"40295","Iron Ore"
"50575","Copper"
"27679","Copper"
"59072","Iron Ore"
"39511","Gold"
"39028","Gold"
"54307","Gold"
"56381","Gold"
"30490","Gold"
"33371","Copper"
"82010","Gold"
"37851","Iron Ore"
"38112","Lead"
"27010","Gold"
"54131","Gold"
"41932","Coal"
"32241","Diamonds"
"26280","Gold"
"28592","Zinc"
"32668","Diamonds"
"30767","Gold"
"58137","Gold"
"83746","Lithium"
"33976","Diamonds"
"76763","Titanium"
"31204","Diamonds"
"60481","Gold"
"32677","Gold"
"30211","Zinc"
"78159","Gold"
"55776","Gold"
"31121","Gold"
"39924","Copper"
"57890","Gold"
"75858","Gold"
"53300","Gold"
"29343","Zinc"
"35729","Gold"
"70506","Graphite"
"50974","Gold"
"25669","Copper"
"40662","Iron Ore"
"70029","Bauxite"
"37490","Copper"
"56453","Gold"
"79165","Lithium"
"50609","Copper"
"25977","Gold"
"63946","Copper"
"28682","Copper"
"54629","Gold"
"36944","Diamonds"
"55392","U3O8"
"75544","Gold"
"39654","Coal"
"28130","Copper"
"35222","U3O8"
"55689","U3O8"
"31199","Silver"
"25868","Gold"
"26344","Gold"
"79764","Gold"
"36386","Gold"
"29777","Gold"
"31295","Platinum"
"67509","Gold"
"36305","Copper"
"36307","Copper"
"28790","Gold"
"33928","Gold"
"30537","Zinc"
"57338","Silver"
"26833","Gold"
"34438","Iron Ore"
"55693","Iron Ore"
"58002","Gold"
"63953","Lithium"
"60619","Bauxite"
"61228","Nickel"
"83179","Copper"
"56892","U3O8"
"66297","Bauxite"
"32208","Gold"
"66763","Copper"
"33043","Diamonds"
"51919","Gold"
"62849","Coal"
"33853","Silver"
"40417","Gold"
"30160","Copper"
"55753","Gold"
"81246","Copper"
"67427","Potash"
"28899","Gold"
"60973","Gold"
"57421","Iron Ore"
"41675","Potash"
"60765","Gold"
"35958","Iron Ore"
"24831","Gold"
"41739","Potash"
"50312","Gold"
"57991","Gold"
"68061","Copper"
"25598","Gold"
"37082","Lanthanides"
"27803","Zinc"
"66738","Graphite"
"56550","Gold"
"55738","Tin"
"81173","Lanthanides"
"35896","U3O8"
"30428","Nickel"
"39142","Coal"
"70030","Iron Ore"
"33991","Copper"
"66262","Iron Ore"
"55733","Iron Ore"
"53064","Coal"
"33772","Copper"
"35360","U3O8"
"36557","U3O8"
"65299","Gold"
"26569","Gold"
"65248","Gold"
"65641","Gold"
"35203","U3O8"
"68336","Chromite"
"27421","Gold"
"27364","Diamonds"
"35166","Silver"
"51870","Coal"
"68762","Coal"
"24493","Gold"
"24549","Gold"
"66429","Gold"
"34568","Gold"
"36941","Copper"
"37474","Nickel"
"56360","Gold"
"34273","Copper"
"28850","Gold"
"58194","Gold"
"65038","Copper"
"55055","Copper"
"64425","Gold"
"54086","Copper"
"56651","Gold"
"62876","Copper"
"64408","Lithium"
"26130","Gold"
"76949","Graphite"
"36916","Gold"
"70156","Coal"
"70157","Coal"
"70075","Coal"
"59512","Coal"
"37715","Phosphate"
"32924","Nickel"
"27462","Copper"
"41819","Coal"
