fid,country_name,country_isoa3,hcluster_id
26459,Canada,CAN,00000000000000005137
26460,Canada,CAN,00000000000000005137
26461,Canada,CAN,00000000000000006807
26462,Canada,CAN,00000000000000006240
26463,Canada,CAN,00000000000000006263
26464,Canada,CAN,00000000000000006263
26465,Canada,CAN,00000000000000006263
26466,Canada,CAN,00000000000000005263
26467,Canada,CAN,00000000000000005263
26468,Canada,CAN,00000000000000005263
26469,Canada,CAN,00000000000000005263
26470,Canada,CAN,00000000000000004058
26471,Canada,CAN,00000000000000004058
26472,China,CHN,00000000000000007265
26473,China,CHN,00000000000000007265
26474,China,CHN,00000000000000007265
26475,China,CHN,00000000000000007265
26476,China,CHN,00000000000000008232
26477,China,CHN,00000000000000008232
26478,China,CHN,00000000000000008232
26479,Canada,CAN,00000000000000004876
26480,Canada,CAN,00000000000000004876
26481,Canada,CAN,00000000000000004876
26482,China,CHN,00000000000000007405
26483,China,CHN,00000000000000007405
26484,China,CHN,00000000000000007405
26485,China,CHN,00000000000000008347
26486,Mexico,MEX,00000000000000011825
26487,China,CHN,00000000000000008237
26488,China,CHN,00000000000000008237
26489,China,CHN,00000000000000008237
26490,China,CHN,00000000000000008237
26491,China,CHN,00000000000000008237
26492,China,CHN,00000000000000008237
26493,Canada,CAN,00000000000000006164
26494,Canada,CAN,00000000000000006164
26495,Canada,CAN,00000000000000006808
26496,Canada,CAN,00000000000000006808
26497,Canada,CAN,00000000000000006808
26498,Canada,CAN,00000000000000004466
26499,Canada,CAN,00000000000000004466
26500,Canada,CAN,00000000000000004466
26501,Canada,CAN,00000000000000004466
26502,China,CHN,00000000000000008353
26503,China,CHN,00000000000000007265
26504,China,CHN,00000000000000007265
26505,China,CHN,00000000000000007265
26506,China,CHN,00000000000000007265
26507,China,CHN,00000000000000007265
26508,China,CHN,00000000000000007265
26509,China,CHN,00000000000000007265
26510,China,CHN,00000000000000007791
26511,China,CHN,00000000000000007791
26512,China,CHN,00000000000000007791
26513,China,CHN,00000000000000007791
26514,China,CHN,00000000000000007791
26515,China,CHN,00000000000000007791
26516,China,CHN,00000000000000007858
26517,China,CHN,00000000000000007858
26518,China,CHN,00000000000000007858
26519,China,CHN,00000000000000007858
26520,China,CHN,00000000000000008550
26521,China,CHN,00000000000000008550
26522,China,CHN,00000000000000008550
26523,China,CHN,00000000000000008550
26524,Mexico,MEX,00000000000000011633
26525,China,CHN,00000000000000008264
26526,China,CHN,00000000000000008264
26527,China,CHN,00000000000000008264
26528,China,CHN,00000000000000007222
26529,China,CHN,00000000000000007222
26530,China,CHN,00000000000000007222
26531,China,CHN,00000000000000007222
26532,China,CHN,00000000000000007222
26533,China,CHN,00000000000000007222
26534,China,CHN,00000000000000007222
26535,China,CHN,00000000000000007222
26536,China,CHN,00000000000000007222
26537,China,CHN,00000000000000007222
26538,China,CHN,00000000000000007222
26539,China,CHN,00000000000000007222
26540,China,CHN,00000000000000007222
26541,China,CHN,00000000000000007222
26542,China,CHN,00000000000000007222
26543,China,CHN,00000000000000008004
26544,China,CHN,00000000000000008004
26545,China,CHN,00000000000000008004
26546,China,CHN,00000000000000008004
26547,China,CHN,00000000000000008004
26548,China,CHN,00000000000000008004
26549,China,CHN,00000000000000008004
26550,China,CHN,00000000000000008102
26551,China,CHN,00000000000000008141
26552,China,CHN,00000000000000008141
26553,China,CHN,00000000000000008141
26554,China,CHN,00000000000000008141
26555,China,CHN,00000000000000008141
